id,reference,text,tags,excluded_contexts,approximate_length
psalm-23-1,Psalm 23:1,Yahweh is my shepherd: I shall lack nothing.,comfort;presence;rest,,8
psalm-23-2,Psalm 23:2,He makes me lie down in green pastures. He leads me beside still waters.,rest;comfort;presence,,14
psalm-23-3,Psalm 23:3,He restores my soul. He guides me in the paths of righteousness for his name's sake.,comfort;rest;presence,,16
psalm-23-4,Psalm 23:4,"Even though I walk through the valley of the shadow of death, I will fear no evil, for you are with me. Your rod and your staff, they comfort me.",fear;presence;comfort;grief,,30
psalm-34-18,Psalm 34:18,"Yahweh is near to those who have a broken heart, and saves those who have a crushed spirit.",comfort;presence;lament,,18
psalm-46-1,Psalm 46:1,"God is our refuge and strength, a very present help in trouble.",comfort;presence;fear,,12
psalm-73-23,Psalm 73:23,"Nevertheless, I am continually with you. You have held my right hand.",presence;comfort,,12
psalm-73-24,Psalm 73:24,"You will guide me with your counsel, and afterward receive me to glory.",presence;comfort,,13
psalm-73-25,Psalm 73:25,Whom do I have in heaven? There is no one on earth whom I desire besides you.,presence,,17
psalm-73-26,Psalm 73:26,"My flesh and my heart fails, but God is the strength of my heart and my portion forever.",presence;endurance;comfort,,18
psalm-91-1,Psalm 91:1,He who dwells in the secret place of the Most High will rest in the shadow of the Almighty.,presence;rest;comfort,,19
psalm-91-2,Psalm 91:2,"I will say of Yahweh, ""He is my refuge and my fortress; my God, in whom I trust.""",presence;fear;comfort,,18
psalm-121-1,Psalm 121:1,I will lift up my eyes to the hills. Where does my help come from?,waiting;presence,,15
psalm-121-2,Psalm 121:2,"My help comes from Yahweh, who made heaven and earth.",presence;comfort,,10
psalm-139-7,Psalm 139:7,Where could I go from your Spirit? Or where could I flee from your presence?,presence;loneliness,,15
psalm-139-8,Psalm 139:8,"If I ascend up into heaven, you are there. If I make my bed in Sheol, behold, you are there!",presence;loneliness,,20
psalm-139-9,Psalm 139:9,"If I take the wings of the dawn, and settle in the uttermost parts of the sea,",presence;loneliness,,17
psalm-139-10,Psalm 139:10,"even there your hand will lead me, and your right hand will hold me.",presence;loneliness;comfort,,14
psalm-145-18,Psalm 145:18,"Yahweh is near to all those who call on him, to all who call on him in truth.",presence;comfort,,18
isaiah-41-10,Isaiah 41:10,"Don't you be afraid, for I am with you. Don't be dismayed, for I am your God. I will strengthen you. Yes, I will help you. Yes, I will uphold you with the right hand of my righteousness.",fear;presence;comfort,,38
isaiah-41-13,Isaiah 41:13,"For I, Yahweh your God, will hold your right hand, saying to you, 'Don't be afraid. I will help you.'",fear;presence;comfort,,20
isaiah-41-14,Isaiah 41:14,"Don't be afraid, you worm Jacob, and you men of Israel. I will help you,"" says Yahweh. ""Your Redeemer is the Holy One of Israel.",fear;presence;comfort,,25
isaiah-43-1,Isaiah 43:1,"But now Yahweh who created you, Jacob, and he who formed you, Israel, says: ""Don't be afraid, for I have redeemed you. I have called you by your name. You are mine.",fear;presence;comfort,,32
isaiah-43-2,Isaiah 43:2,"When you pass through the waters, I will be with you, and through the rivers, they will not overflow you. When you walk through the fire, you will not be burned, and flame will not scorch you.",fear;presence;endurance,,37
isaiah-49-15,Isaiah 49:15,"""Can a woman forget her nursing child, that she should not have compassion on the son of her womb? Yes, these may forget, yet I will not forget you!",comfort;presence;loneliness,,29
isaiah-49-16,Isaiah 49:16,"Behold, I have engraved you on the palms of my hands. Your walls are continually before me.",comfort;presence;loneliness,,17
isaiah-66-13,Isaiah 66:13,"As one whom his mother comforts, so I will comfort you. You will be comforted in Jerusalem.""",comfort;presence,,17
matthew-11-28,Matthew 11:28,"""Come to me, all you who labor and are heavily burdened, and I will give you rest.",rest;comfort,,17
matthew-11-29,Matthew 11:29,"Take my yoke upon you, and learn from me, for I am gentle and humble in heart; and you will find rest for your souls.",rest;comfort,,25
matthew-11-30,Matthew 11:30,"For my yoke is easy, and my burden is light.""",rest;comfort,,10
john-14-18,John 14:18,I will not leave you orphans. I will come to you.,presence;loneliness;comfort,,11
john-14-27,John 14:27,"Peace I leave with you. My peace I give to you; not as the world gives, I give to you. Don't let your heart be troubled, neither let it be fearful.",fear;rest;comfort,,31
2-corinthians-1-3,2 Corinthians 1:3,"Blessed be the God and Father of our Lord Jesus Christ, the Father of mercies and God of all comfort;",comfort,,20
2-corinthians-1-4,2 Corinthians 1:4,"who comforts us in all our affliction, that we may be able to comfort those who are in any affliction, through the comfort with which we ourselves are comforted by God.",comfort,,31
2-corinthians-1-5,2 Corinthians 1:5,"For as the sufferings of Christ abound to us, even so our comfort also abounds through Christ.",comfort;endurance,,17
romans-8-38,Romans 8:38,"For I am persuaded that neither death, nor life, nor angels, nor principalities, nor things present, nor things to come, nor powers,",presence;fear;comfort,,22
romans-8-39,Romans 8:39,"nor height, nor depth, nor any other created thing will be able to separate us from God's love which is in Christ Jesus our Lord.",presence;fear;comfort,,25
deuteronomy-31-6,Deuteronomy 31:6,"Be strong and courageous. Don't be afraid or scared of them; for Yahweh your God himself is who goes with you. He will not fail you nor forsake you.""",fear;presence;endurance,,29
deuteronomy-31-8,Deuteronomy 31:8,"Yahweh himself is who goes before you. He will be with you. He will not fail you nor forsake you. Don't be afraid. Don't be discouraged.""",fear;presence;loneliness,,26
zephaniah-3-17,Zephaniah 3:17,"Yahweh, your God, is among you, a mighty one who will save. He will rejoice over you with joy. He will calm you in his love. He will rejoice over you with singing.",comfort;presence,,33
psalm-27-10,Psalm 27:10,"When my father and my mother forsake me, then Yahweh will take me up.",loneliness;comfort;presence,,14
psalm-56-8,Psalm 56:8,You count my wanderings. You put my tears into your container. Aren't they in your book?,comfort;lament;grief,,16
psalm-147-3,Psalm 147:3,"He heals the broken in heart, and binds up their wounds.",comfort;grief;lament,,11
psalm-116-8,Psalm 116:8,"For you have delivered my soul from death, my eyes from tears, and my feet from falling.",comfort;grief;endurance,,17
psalm-41-3,Psalm 41:3,"Yahweh will sustain him on his sickbed, and restore him from his bed of illness.",comfort,,15
nahum-1-7,Nahum 1:7,"Yahweh is good, a stronghold in the day of trouble; and he knows those who take refuge in him.",comfort;fear;presence,,19
psalm-13-1,Psalm 13:1,"How long, Yahweh? Will you forget me forever? How long will you hide your face from me?",lament;doubt;loneliness,,17
psalm-13-2,Psalm 13:2,"How long shall I take counsel in my soul, having sorrow in my heart every day? How long shall my enemy triumph over me?",lament;doubt,,24
psalm-22-1,Psalm 22:1,"My God, my God, why have you forsaken me? Why are you so far from helping me, and from the words of my groaning?",lament;doubt;loneliness,,24
psalm-22-2,Psalm 22:2,"My God, I cry in the daytime, but you don't answer; in the night season, and am not silent.",lament;doubt,,19
psalm-42-3,Psalm 42:3,"My tears have been my food day and night, while they continually ask me, ""Where is your God?""",lament;grief;doubt,,18
psalm-42-5,Psalm 42:5,"Why are you in despair, my soul? Why are you disturbed within me? Hope in God! For I shall still praise him for the saving help of his presence.",lament;hope;doubt,,29
psalm-42-11,Psalm 42:11,"Why are you in despair, my soul? Why are you disturbed within me? Hope in God! For I shall still praise him, the saving help of my countenance, and my God.",lament;hope;doubt,,31
psalm-88-1,Psalm 88:1,"Yahweh, the God of my salvation, I have cried day and night before you.",lament;doubt,,14
psalm-88-2,Psalm 88:2,Let my prayer enter into your presence. Turn your ear to my cry.,lament,,13
psalm-88-3,Psalm 88:3,For my soul is full of troubles. My life draws near to Sheol.,lament;grief,,13
psalm-88-9,Psalm 88:9,"My eyes are dim from grief. I have called on you daily, Yahweh. I have spread out my hands to you.",lament;grief,,21
psalm-88-13,Psalm 88:13,"But to you, Yahweh, I have cried. In the morning, my prayer comes before you.",lament;endurance,,15
psalm-88-18,Psalm 88:18,"You have put lover and friend far from me, and my friends into darkness.",lament;loneliness;grief,,14
psalm-6-6,Psalm 6:6,I am weary with my groaning. Every night I flood my bed. I drench my couch with my tears.,lament;grief,,19
psalm-6-7,Psalm 6:7,My eye wastes away because of grief. It grows old because of all my adversaries.,lament;grief,,15
psalm-31-9,Psalm 31:9,"Have mercy on me, Yahweh, for I am in distress. My eye, my soul, and my body waste away with grief.",lament;grief,,21
psalm-31-10,Psalm 31:10,"For my life is spent with sorrow, my years with sighing. My strength fails because of my iniquity. My bones are wasted away.",lament;grief,,23
lamentations-3-1,Lamentations 3:1,I am the man who has seen affliction by the rod of his wrath.,lament,,14
lamentations-3-2,Lamentations 3:2,"He has led me and caused me to walk in darkness, and not in light.",lament,,15
lamentations-3-19,Lamentations 3:19,"Remember my affliction and my misery, the wormwood and the bitterness.",lament;grief,,11
lamentations-3-20,Lamentations 3:20,"My soul still remembers them, and is bowed down within me.",lament;grief,,11
job-1-21,Job 1:21,"He said, ""Naked I came out of my mother's womb, and naked will I return there. Yahweh gave, and Yahweh has taken away. Blessed be Yahweh's name.""",lament;grief,,27
ecclesiastes-3-4,Ecclesiastes 3:4,"a time to weep, and a time to laugh; a time to mourn, and a time to dance;",lament;grief,,18
john-11-35,John 11:35,Jesus wept.,grief;lament;presence,,2
psalm-30-5,Psalm 30:5,"For his anger is but for a moment. His favor is for a lifetime. Weeping may stay for the night, but joy comes in the morning.",comfort;hope;lament,grief;mental-health,26
psalm-126-5,Psalm 126:5,Those who sow in tears will reap in joy.,hope;lament,grief,9
psalm-126-6,Psalm 126:6,"He who goes out weeping, carrying seed for sowing, will certainly come again with joy, carrying his sheaves.",hope;lament,grief,18
isaiah-53-3,Isaiah 53:3,"He was despised and rejected by men, a man of suffering and acquainted with disease. He was despised as one from whom men hide their face; and we didn't respect him.",presence;grief;lament,,31
isaiah-53-4,Isaiah 53:4,"Surely he has borne our sickness and carried our suffering; yet we considered him plagued, struck by God, and afflicted.",presence;grief;comfort,,20
matthew-5-4,Matthew 5:4,"Blessed are those who mourn, for they shall be comforted.",comfort;grief;lament,,10
psalm-62-1,Psalm 62:1,My soul rests in God alone. My salvation is from him.,rest;presence,,11
psalm-62-2,Psalm 62:2,"He alone is my rock, my salvation, and my fortress. I will never be greatly shaken.",rest;presence;fear,,16
psalm-62-5,Psalm 62:5,"My soul, wait in silence for God alone, for my expectation is from him.",rest;waiting,,14
psalm-116-7,Psalm 116:7,"Return to your rest, my soul, for Yahweh has dealt bountifully with you.",rest;comfort,,13
psalm-127-2,Psalm 127:2,"It is vain for you to rise up early, to stay up late, eating the bread of toil, for he gives sleep to his loved ones.",rest,,26
psalm-4-8,Psalm 4:8,"In peace I will both lay myself down and sleep, for you, Yahweh alone, make me live in safety.",rest;fear,,19
psalm-131-2,Psalm 131:2,"Surely I have stilled and quieted my soul, like a weaned child with his mother, like a weaned child is my soul within me.",rest;presence,,24
mark-6-31,Mark 6:31,"He said to them, ""You come apart into a deserted place, and rest awhile."" For there were many coming and going, and they had no leisure so much as to eat.",rest,,31
exodus-33-14,Exodus 33:14,"He said, ""My presence will go with you, and I will give you rest.""",rest;presence,,14
isaiah-30-15,Isaiah 30:15,"For thus said the Lord Yahweh, the Holy One of Israel, ""You will be saved in returning and rest. Your strength will be in quietness and in confidence."" You refused,",rest;waiting,,30
romans-5-3,Romans 5:3,"Not only this, but we also rejoice in our sufferings, knowing that suffering produces perseverance;",endurance,grief;mental-health,15
romans-5-4,Romans 5:4,"and perseverance, proven character; and proven character, hope:",endurance;hope,grief;mental-health,8
romans-5-5,Romans 5:5,"and hope doesn't disappoint us, because God's love has been poured into our hearts through the Holy Spirit who was given to us.",hope;endurance,grief;mental-health,23
romans-8-18,Romans 8:18,For I consider that the sufferings of this present time are not worthy to be compared with the glory which will be revealed toward us.,endurance;hope,grief;mental-health,25
romans-8-28,Romans 8:28,"We know that all things work together for good for those who love God, for those who are called according to his purpose.",endurance;hope,grief;mental-health,23
2-corinthians-4-8,2 Corinthians 4:8,"We are pressed on every side, yet not crushed; perplexed, yet not to despair;",endurance,,14
2-corinthians-4-9,2 Corinthians 4:9,"pursued, yet not forsaken; struck down, yet not destroyed;",endurance,,9
2-corinthians-4-16,2 Corinthians 4:16,"Therefore we don't faint, but though our outward man is decaying, yet our inward man is renewed day by day.",endurance;hope,,20
2-corinthians-4-17,2 Corinthians 4:17,"For our light affliction, which is for the moment, works for us more and more exceedingly an eternal weight of glory,",endurance;hope,grief;mental-health,21
2-corinthians-4-18,2 Corinthians 4:18,"while we don't look at the things which are seen, but at the things which are not seen. For the things which are seen are temporal, but the things which are not seen are eternal.",endurance;hope,,35
2-corinthians-12-9,2 Corinthians 12:9,"He has said to me, ""My grace is sufficient for you, for my power is made perfect in weakness."" Most gladly therefore I will rather glory in my weaknesses, that the power of Christ may rest on me.",endurance;comfort,,38
philippians-4-13,Philippians 4:13,"I can do all things through Christ, who strengthens me.",endurance,,10
isaiah-40-29,Isaiah 40:29,He gives power to the weak. He increases the strength of him who has no might.,endurance;comfort,,16
isaiah-40-30,Isaiah 40:30,"Even the youths faint and get weary, and the young men utterly fall;",endurance,,13
isaiah-40-31,Isaiah 40:31,"but those who wait for Yahweh will renew their strength. They will mount up with wings like eagles. They will run, and not be weary. They will walk, and not faint.",endurance;waiting;hope,,31
galatians-6-9,Galatians 6:9,"Let's not be weary in doing good, for we will reap in due season, if we don't give up.",endurance,,19
psalm-18-32,Psalm 18:32,"the God who arms me with strength, and makes my way perfect?",endurance,,12
